River,Insecta,Ni,Zn,Cu,pH,TOC,Soil,Speed
River1,0.66,0.8,2.83,0.54,7.6,2.9,Large,0.17
River1,0.54,50.01,111.74,27.69,7.5,4.6,Large,0.38
River1,0.82,44.17,41.16,7.9,7.5,4.5,Small,0.32
River10,0.76,0.78,0.92,0.14,7.7,1,Middle,0.73
River10,0.83,44.98,41.97,7.06,7.6,0.9,Middle,0.27
River10,0.81,56.85,48.75,5.57,7.4,0.9,Middle,0.19
River10,0.57,34.48,45.51,3.32,7.6,1.9,Middle,0.28
River11,0.92,0.21,43.32,0.79,7.9,1.7,Large,0.12
River11,0.12,4.66,31.28,0.42,7.4,6.4,Large,0.41
River11,0.39,4.27,25.43,0.37,7.2,6.7,Small,0.27
River12,0.53,2.45,0.87,0.82,8,0.7,Middle,0.7
River12,0.53,2.55,1.02,1.29,7.5,0.7,Middle,0.67
River12,0.84,7.22,0.85,164.27,8,0.7,Middle,0.5
River13,0.93,1.23,1.18,1.21,7.7,0.5,Large,0.42
River13,0.92,16.31,6.33,96.57,7.6,0.6,Large,0.5
River13,0.9,10.52,15.65,12.39,7.5,1,Middle,0.31
River14,0.77,0.28,2.05,4.8,7,0.3,Middle,0.52
River14,0.69,183.56,55.58,45.88,7.3,2.4,Large,0.37
River2,0.79,0.5,42.94,11.86,7.8,1.9,Middle,0.58
River2,0.72,19.92,5.77,6.21,7.8,1.4,Middle,0.83
River2,0.88,1.15,5.03,15.55,7.6,1.1,Middle,0.8
River2,0.83,4.9,36.29,19.54,7.6,1.6,Large,1.01
River2,0.79,5.54,45.17,11.52,7.8,1.4,Middle,0.65
River3,0.65,0.27,0.89,1.19,8.1,0.9,Middle,0.62
River3,0.88,0.52,5.37,2.58,7.8,2,Middle,0.7
River3,0.73,15.47,34.97,8.39,8,1.8,Large,0.51
River3,0.89,20.78,42.95,9.14,8,1.9,Middle,0.66
River3,0.82,14.65,49.13,6.4,7.9,1.7,Middle,0.6
River4,0.82,1,40.4,2.61,7.8,1.6,Small,0.54
River4,0.89,2.75,33.51,3.38,7.8,1.6,Middle,0.48
River4,0.86,1.38,23.8,2.8,7.8,1.8,Middle,0.55
River4,0.73,3.04,49.28,54.15,7.8,1.6,Middle,0.62
River5,0.87,0.23,3.22,0.49,7.6,3.1,Large,0.97
River5,0.89,9.1,8.77,1,7.6,2.9,Small,0.62
River5,0.76,11.22,18.47,2.01,7.5,2.6,Middle,0.62
River5,0.85,5.37,6.89,1.25,7.5,2.4,Middle,0.51
River6,0.82,5,3.73,1.43,7.6,1.4,Small,0.16
River6,0.83,54.18,18.43,6.39,7.2,4.3,Middle,0.46
River6,0.87,56.79,19.22,6.62,7.3,3.3,Large,0.4
River6,0.71,46.8,46.01,7.6,7.5,3.2,Large,0.14
River7,0.78,2.29,6.02,25.91,7.6,1.3,Small,0.33
River8,0.89,3.3,0.64,9.00E-02,7.9,0.9,Large,0.76
River8,0.91,12.24,26.08,0.27,8.2,0.8,Large,0.32
River9,0.87,0.65,45.97,2.38,8,1.5,Middle,0.31
River9,0.83,16.47,42.33,61.53,7.7,1.7,Small,0.25
