MeasuredID	ProjectID	SampleID	ScientificName	ChemicalID	ChemicalName	ExperimentID	MeasuredValue	AlternativeData	Unit	Remarks	RegisterDate	UpdatDate
81245	PRA000095	SAA005816	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81246	PRA000095	SAA005817	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81247	PRA000095	SAA005818	Water	CH0000362	PFBS		0.001		μg/L		2019/7/26	2019/7/26
81248	PRA000095	SAA005819	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81249	PRA000095	SAA005820	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81250	PRA000095	SAA005821	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81251	PRA000095	SAA005822	Water	CH0000362	PFBS		0.0016		μg/L		2019/7/26	2019/7/26
81252	PRA000095	SAA005823	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81253	PRA000095	SAA005824	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81254	PRA000095	SAA005825	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81255	PRA000095	SAA005826	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81256	PRA000095	SAA005827	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81257	PRA000095	SAA005828	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81258	PRA000095	SAA005829	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81259	PRA000095	SAA005830	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81260	PRA000095	SAA005831	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81261	PRA000095	SAA005832	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81262	PRA000095	SAA005833	Water	CH0000362	PFBS		0.0024		μg/L		2019/7/26	2019/7/26
81263	PRA000095	SAA005834	Water	CH0000362	PFBS		0.0047		μg/L		2019/7/26	2019/7/26
81264	PRA000095	SAA005835	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81265	PRA000095	SAA005836	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81266	PRA000095	SAA005837	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81267	PRA000095	SAA005838	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81268	PRA000095	SAA005839	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81269	PRA000095	SAA005840	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81270	PRA000095	SAA005841	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81271	PRA000095	SAA005842	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81272	PRA000095	SAA005843	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81273	PRA000095	SAA005844	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81274	PRA000095	SAA005845	Water	CH0000362	PFBS		0.0034		μg/L		2019/7/26	2019/7/26
81275	PRA000095	SAA005846	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81276	PRA000095	SAA005847	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81277	PRA000095	SAA005848	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81278	PRA000095	SAA005849	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
81279	PRA000095	SAA005850	Water	CH0000362	PFBS		0.001	<1.00E-3	μg/L		2019/7/26	2019/7/26
47230	PRA000060	SAA003568	Water	CH0000363	PFHxS		0.00244		μg/L		2018/2/9	2018/6/8
47231	PRA000060	SAA003569	Water	CH0000363	PFHxS		0.0036		μg/L		2018/2/9	2018/6/8
47232	PRA000060	SAA003570	Water	CH0000363	PFHxS		0.00244		μg/L		2018/2/9	2018/6/8
47233	PRA000060	SAA003571	Water	CH0000363	PFHxS		0.00147		μg/L		2018/2/9	2018/6/8
47234	PRA000060	SAA003572	Water	CH0000363	PFHxS		0.00372		μg/L		2018/2/9	2018/6/8
47235	PRA000060	SAA003573	Water	CH0000363	PFHxS		0.00189		μg/L		2018/2/9	2018/6/8
47236	PRA000060	SAA003574	Water	CH0000363	PFHxS		0.00308		μg/L		2018/2/9	2018/6/8
47237	PRA000060	SAA003575	Water	CH0000363	PFHxS		0.00246		μg/L		2018/2/9	2018/6/8
47238	PRA000060	SAA003576	Water	CH0000363	PFHxS		0.0135		μg/L		2018/2/9	2018/6/8
47239	PRA000060	SAA003577	Water	CH0000363	PFHxS		0.0108		μg/L		2018/2/9	2018/6/8
47240	PRA000060	SAA003578	Water	CH0000363	PFHxS		0.00788		μg/L		2018/2/9	2018/6/8
47241	PRA000060	SAA003579	Water	CH0000363	PFHxS		0.00023		μg/L		2018/2/9	2018/6/8
